,osmid,y,x,highway,street_count,ref,geometry
2236,42442937,40.7498355,-73.9721985,traffic_signals,4,,POINT (-73.9721985 40.7498355)
2237,42442939,40.750494,-73.971713,traffic_signals,4,,POINT (-73.971713 40.750494)
2238,42442943,40.751122,-73.971263,traffic_signals,4,,POINT (-73.971263 40.751122)
2239,42442947,40.751748,-73.970804,traffic_signals,4,,POINT (-73.970804 40.751748)
2240,42442948,40.7529834,-73.9699017,traffic_signals,4,,POINT (-73.9699017 40.7529834)
2241,42442949,40.753624,-73.969431,traffic_signals,4,,POINT (-73.969431 40.753624)
2242,42442952,40.754877,-73.96852,traffic_signals,4,,POINT (-73.96852 40.754877)
2243,42442955,40.7561457,-73.9676181,traffic_signals,4,,POINT (-73.9676181 40.7561457)
2244,42442957,40.757381,-73.966702,traffic_signals,4,,POINT (-73.966702 40.757381)
2245,42442959,40.7580289,-73.9662476,traffic_signals,4,,POINT (-73.9662476 40.7580289)
2246,42442960,40.758647,-73.9657958,traffic_signals,4,,POINT (-73.9657958 40.758647)
2247,42442961,40.7599916,-73.9648028,traffic_signals,4,,POINT (-73.9648028 40.7599916)
2248,42442963,40.7624978,-73.9629826,traffic_signals,4,,POINT (-73.9629826 40.7624978)
2249,42442977,40.7643617,-73.9616112,traffic_signals,4,,POINT (-73.9616112 40.7643617)
2250,42442983,40.7649919,-73.9611441,traffic_signals,4,,POINT (-73.9611441 40.7649919)
2251,42443000,40.7668653,-73.959779,traffic_signals,4,,POINT (-73.959779 40.7668653)
2252,42443009,40.7681385,-73.9588757,traffic_signals,4,,POINT (-73.9588757 40.7681385)
2253,42443020,40.7714057,-73.956491,traffic_signals,4,,POINT (-73.956491 40.7714057)
2254,42443024,40.7720395,-73.9560266,traffic_signals,4,,POINT (-73.9560266 40.7720395)
2255,42443027,40.7733539,-73.9550691,traffic_signals,4,,POINT (-73.9550691 40.7733539)
2256,42443029,40.774666,-73.9540995,traffic_signals,4,,POINT (-73.9540995 40.774666)
2257,42443032,40.7759238,-73.9531654,traffic_signals,4,,POINT (-73.9531654 40.7759238)
2258,42443037,40.7771941,-73.9522399,traffic_signals,4,,POINT (-73.9522399 40.7771941)
2259,42443040,40.778551,-73.951248,traffic_signals,4,,POINT (-73.951248 40.778551)
2260,42443042,40.7791759,-73.9507943,traffic_signals,4,,POINT (-73.9507943 40.7791759)
2261,42443044,40.7804348,-73.9498809,traffic_signals,4,,POINT (-73.9498809 40.7804348)
2262,42443046,40.7810699,-73.9494125,traffic_signals,3,,POINT (-73.9494125 40.7810699)
2263,42443048,40.78168,-73.9489676,traffic_signals,4,,POINT (-73.9489676 40.78168)
2264,42443050,40.7823112,-73.9485053,traffic_signals,4,,POINT (-73.9485053 40.7823112)
2265,42443052,40.7829443,-73.9480373,traffic_signals,4,,POINT (-73.9480373 40.7829443)
2266,42443054,40.7842494,-73.9470901,traffic_signals,4,,POINT (-73.9470901 40.7842494)
2267,42443056,40.7849455,-73.9465916,traffic_signals,4,,POINT (-73.9465916 40.7849455)
