,u,v,key,osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,access,bridge,tunnel,width,junction
9276,5131026388,42445387,0,420872204,East 34th Street,primary,25 mph,False,False,66.169,"LINESTRING (-73.9758885 40.744792, -73.9757497 40.7447333, -73.9752803 40.744534, -73.9752025 40.7445022)",4,,,,,,
9277,5131026388,42442913,0,"[1031400324, 1031400325]",2nd Avenue,primary,25 mph,True,False,86.47200000000001,"LINESTRING (-73.9758885 40.744792, -73.9759565 40.744688, -73.9760692 40.744537, -73.9762095 40.7443489, -73.9763366 40.7441781, -73.9763847 40.7441114)","['5', '6']",,,,,,
9278,5131026388,42445382,0,"[554083352, 1088325193]",East 34th Street,primary,25 mph,False,True,139.124,"LINESTRING (-73.9758885 40.744792, -73.9760121 40.7448447, -73.976345 40.7449867, -73.9773278 40.7454055)","['5', '4']",,,,,,
9279,5137743341,5137747688,0,32938997,Avenue C,primary,25 mph,True,False,130.705,"LINESTRING (-73.9747585 40.7342233, -73.9749302 40.7349006, -73.9749362 40.7349292, -73.9749391 40.7349578, -73.9749385 40.7349873, -73.9749312 40.7350171, -73.9748544 40.735224, -73.9748022 40.7353722)",2,,,,,,
9280,5137743341,5137747688,1,528755493,Avenue C,unclassified,,False,True,141.674,"LINESTRING (-73.9747585 40.7342233, -73.9746252 40.7342858, -73.974593 40.7343022, -73.9745691 40.7343202, -73.9745456 40.7343426, -73.9745272 40.734363, -73.9745163 40.7343835, -73.9745089 40.7344118, -73.9745104 40.7344373, -73.9746268 40.7349048, -73.9747043 40.7352003, -73.9747256 40.7352903, -73.9747348 40.7353116, -73.9747515 40.7353321, -73.9747741 40.7353521, -73.9748022 40.7353722)",,,,,,,
9281,5137747688,589100267,0,162041588,FDR Drive,primary,25 mph,True,False,68.826,"LINESTRING (-73.9748022 40.7353722, -73.9747924 40.7354085, -73.9747849 40.7354475, -73.9747829 40.7354828, -73.974784 40.7355089, -73.974794 40.7355843, -73.9748003 40.7356523, -73.9748042 40.7357077, -73.9748071 40.735849, -73.974805 40.7359893)",,,,,,,
9282,5137747688,42448714,0,194923765,East 23rd Street,secondary,25 mph,False,False,30.313000000000002,"LINESTRING (-73.9748022 40.7353722, -73.974859 40.7353725, -73.9748948 40.7353742, -73.9749292 40.7353775, -73.9749572 40.7353831, -73.9749905 40.7353932, -73.9750163 40.7354032, -73.9751359 40.7354563)",4,,,,,,
9283,5137747688,5137743341,0,528755493,Avenue C,unclassified,,False,False,141.674,"LINESTRING (-73.9748022 40.7353722, -73.9747741 40.7353521, -73.9747515 40.7353321, -73.9747348 40.7353116, -73.9747256 40.7352903, -73.9747043 40.7352003, -73.9746268 40.7349048, -73.9745104 40.7344373, -73.9745089 40.7344118, -73.9745163 40.7343835, -73.9745272 40.734363, -73.9745456 40.7343426, -73.9745691 40.7343202, -73.974593 40.7343022, -73.9746252 40.7342858, -73.9747585 40.7342233)",,,,,,,
9284,5137978709,4161568888,0,"[32937066, 989145098]",Avenue C,primary,25 mph,True,False,154.453,"LINESTRING (-73.9743536 40.7323695, -73.9743514 40.7321528, -73.974084 40.73111, -73.9740778 40.7310849, -73.974057 40.7310019)",2,,,,,,
9285,5137978709,42439191,0,"[528792682, 528759347]",Avenue C,primary,25 mph,False,False,42.924,"LINESTRING (-73.9743536 40.7323695, -73.9744015 40.7325632, -73.9744113 40.732597, -73.9744419 40.7327496)",4,,,,,,
